name*,version*,license*,vendor/community,end-of-support,dependencies,language
har-schema,2.0.0,ISC,https://github.com/ahmadnassri/har-schema,,,
har-validator,2.0.6,ISC,https://github.com/ahmadnassri/har-validator,,,
har-validator,5.0.3,ISC,https://github.com/ahmadnassri/har-validator,,,
has-ansi,2.0.0,MIT,https://github.com/sindresorhus/has-ansi,,,
has-flag,3.0.0,MIT,https://github.com/sindresorhus/has-flag,,,
has-symbols,1.0.1,MIT,https://github.com/ljharb/has-symbols,,,
has,1.0.3,MIT,https://github.com/tarruda/has,,,
hashring,3.2.0,MIT,https://github.com/3rd-Eden/node-hashring,,,
hawk,3.1.3,BSD-3-Clause,https://github.com/hueniverse/hawk,,,
hawk,6.0.2,BSD-3-Clause,https://github.com/hueniverse/hawk,,,
he,1.2.0,MIT,https://github.com/mathiasbynens/he,,,
hipchat-notifier,1.1.0,MIT,,,,
hoek,2.16.3,BSD-3-Clause,https://github.com/hapijs/hoek,,,
hoek,4.2.1,BSD-3-Clause,https://github.com/hapijs/hoek,,,
http-errors,1.6.2,MIT,https://github.com/jshttp/http-errors,,,
http-proxy-agent,1.0.0,MIT,https://github.com/TooTallNate/node-http-proxy-agent,,,
http-signature,1.1.1,MIT,https://github.com/joyent/node-http-signature,,,
http-signature,1.2.0,MIT,https://github.com/joyent/node-http-signature,,,
httpntlm,1.6.1,MIT,https://github.com/SamDecrock/node-http-ntlm,,,
httpreq,0.4.24,MIT,https://github.com/SamDecrock/node-httpreq,,,
https-proxy-agent,1.0.0,MIT,https://github.com/TooTallNate/node-https-proxy-agent,,,
humanize-ms,1.2.1,MIT,https://github.com/node-modules/humanize-ms,,,
iconv-lite,0.4.15,MIT,https://github.com/ashtuchkin/iconv-lite,,,
iconv-lite,0.4.19,MIT,https://github.com/ashtuchkin/iconv-lite,,,
iconv-lite,0.4.24,MIT,https://github.com/ashtuchkin/iconv-lite,,,
inflection,1.10.0,MIT,https://github.com/dreamerslab/node.inflection,,,
inflection,1.3.8,MIT,https://github.com/dreamerslab/node.inflection,,,
inflight,1.0.6,ISC,https://github.com/npm/inflight,,,
inherits,2.0.1,ISC,https://github.com/isaacs/inherits,,,
inherits,2.0.3,ISC,https://github.com/isaacs/inherits,,,
install-package,0.4.0,MIT,https://github.com/1000ch/install-package,,,
ioredis,4.3.0,MIT,https://github.com/luin/ioredis,,,
ip,1.0.1,MIT,https://github.com/indutny/node-ip,,,
ip,1.1.5,MIT,https://github.com/indutny/node-ip,,,
ipaddr.js,1.6.0,MIT,https://github.com/whitequark/ipaddr.js,,,
is-binary-path,2.1.0,MIT,https://github.com/sindresorhus/is-binary-path,,,
is-buffer,2.0.4,MIT,https://github.com/feross/is-buffer,,,
is-callable,1.2.2,MIT,https://github.com/ljharb/is-callable,,,
is-date-object,1.0.2,MIT,https://github.com/ljharb/is-date-object,,,
is-extglob,2.1.1,MIT,https://github.com/jonschlinkert/is-extglob,,,
is-fullwidth-code-point,2.0.0,MIT,https://github.com/sindresorhus/is-fullwidth-code-point,,,
is-glob,4.0.1,MIT,https://github.com/micromatch/is-glob,,,
is-my-ip-valid,1.0.0,MIT,https://github.com/LinusU/is-my-ip-valid,,,
is-my-json-valid,2.17.2,MIT,https://github.com/mafintosh/is-my-json-valid,,,
is-number,7.0.0,MIT,https://github.com/jonschlinkert/is-number,,,
is-property,1.0.2,MIT,https://github.com/mikolalysenko/is-property,,,
is-regex,1.1.1,MIT,https://github.com/ljharb/is-regex,,,
is-stream,1.1.0,MIT,https://github.com/sindresorhus/is-stream,,,
is-symbol,1.0.3,MIT,https://github.com/inspect-js/is-symbol,,,
is-typedarray,1.0.0,MIT,https://github.com/hughsk/is-typedarray,,,
is_js,0.9.0,MIT,https://github.com/arasatasaygin/is.js,,,
isarray,0.0.1,MIT,https://github.com/juliangruber/isarray,,,
isarray,1.0.0,MIT,https://github.com/juliangruber/isarray,,,
isexe,2.0.0,ISC,https://github.com/isaacs/isexe,,,
isstream,0.1.2,MIT,https://github.com/rvagg/isstream,,,
jackpot,0.0.6,MIT*,https://github.com/3rd-Eden/jackpot,,,
js-yaml,3.11.0,MIT,https://github.com/nodeca/js-yaml,,,
js-yaml,3.13.1,MIT,https://github.com/nodeca/js-yaml,,,
jsbn,0.1.1,MIT,https://github.com/andyperlitch/jsbn,,,
json-schema-traverse,0.3.1,MIT,https://github.com/epoberezkin/json-schema-traverse,,,
json-schema,0.2.3,AFLv2.1,BSD,https://github.com/kriszyp/json-schema,,,
json-stringify-safe,5.0.1,ISC,https://github.com/isaacs/json-stringify-safe,,,
jsonfile,2.4.0,MIT,https://github.com/jprichardson/node-jsonfile,,,
jsonpointer,4.0.1,MIT,https://github.com/janl/node-jsonpointer,,,
jsonwebtoken,8.2.1,MIT,https://github.com/auth0/node-jsonwebtoken,,,
jsprim,1.4.1,MIT,https://github.com/joyent/node-jsprim,,,
jwa,1.1.5,MIT,https://github.com/brianloveswords/node-jwa,,,
jws,3.1.4,MIT,https://github.com/brianloveswords/node-jws,,,
klaw,1.3.1,MIT,https://github.com/jprichardson/node-klaw,,,
levn,0.3.0,MIT,https://github.com/gkz/levn,,,
libbase64,0.1.0,MIT,https://github.com/andris9/libbase64,,,
libmime,3.0.0,MIT,https://github.com/andris9/libmime,,,
libqp,1.1.0,MIT,https://github.com/andris9/libqp,,,
locate-path,3.0.0,MIT,https://github.com/sindresorhus/locate-path,,,
lodash.defaults,4.2.0,MIT,https://github.com/lodash/lodash,,,
lodash.flatten,4.4.0,MIT,https://github.com/lodash/lodash,,,
lodash.includes,4.3.0,MIT,https://github.com/lodash/lodash,,,
lodash.isboolean,3.0.3,MIT,https://github.com/lodash/lodash,,,
lodash.isinteger,4.0.4,MIT,https://github.com/lodash/lodash,,,
lodash.isnumber,3.0.3,MIT,https://github.com/lodash/lodash,,,
lodash.isplainobject,4.0.6,MIT,https://github.com/lodash/lodash,,,
lodash.isstring,4.0.1,MIT,https://github.com/lodash/lodash,,,
lodash.once,4.1.1,MIT,https://github.com/lodash/lodash,,,
lodash.set,4.3.2,MIT,https://github.com/lodash/lodash,,,
lodash,4.17.10,MIT,https://github.com/lodash/lodash,,,
lodash,4.17.11,MIT,https://github.com/lodash/lodash,,,
lodash,4.17.20,MIT,https://github.com/lodash/lodash,,,
lodash,4.17.5,MIT,https://github.com/lodash/lodash,,,
log-symbols,3.0.0,MIT,https://github.com/sindresorhus/log-symbols,,,
log4js,2.5.3,Apache-2.0,https://github.com/log4js-node/log4js-node,,,
loggly,1.1.1,MIT,https://github.com/winstonjs/node-loggly,,,
long,4.0.0,Apache-2.0,https://github.com/dcodeIO/long.js,,,
lru-cache,2.5.0,MIT,https://github.com/isaacs/node-lru-cache,,,
lru-cache,2.6.5,ISC,https://github.com/isaacs/node-lru-cache,,,
lru-cache,4.1.3,ISC,https://github.com/isaacs/node-lru-cache,,,
lru-cache,4.1.5,ISC,https://github.com/isaacs/node-lru-cache,,,
mailcomposer,4.0.1,MIT,https://github.com/andris9/mailcomposer,,,
mailgun-js,0.7.15,MIT,https://github.com/bojand/mailgun-js,,,
media-typer,0.3.0,MIT,https://github.com/jshttp/media-typer,,,
memcached,2.2.2,MIT,https://github.com/3rd-Eden/node-memcached,,,
merge-descriptors,1.0.1,MIT,https://github.com/component/merge-descriptors,,,
methods,1.1.2,MIT,https://github.com/jshttp/methods,,,
mime-db,1.33.0,MIT,https://github.com/jshttp/mime-db,,,
mime-types,2.1.18,MIT,https://github.com/jshttp/mime-types,,,
mime,1.4.1,MIT,https://github.com/broofa/node-mime,,,
minimatch,3.0.4,ISC,https://github.com/isaacs/minimatch,,,
minimist,0.0.8,MIT,https://github.com/substack/minimist,,,
minimist,1.2.5,MIT,https://github.com/substack/minimist,,,
mkdirp,0.5.1,MIT,https://github.com/substack/node-mkdirp,,,
mkdirp,0.5.5,MIT,https://github.com/substack/node-mkdirp,,,
mocha,7.2.0,MIT,https://github.com/mochajs/mocha,,,
moment,2.23.0,MIT,https://github.com/moment/moment,,,
ms,0.7.1,MIT*,https://github.com/guille/ms.js,,,
ms,0.7.3,MIT,https://github.com/zeit/ms,,,
ms,2.0.0,MIT,https://github.com/zeit/ms,,,
ms,2.1.1,MIT,https://github.com/zeit/ms,,,
mysql-cache,2.1.2,MIT,https://github.com/michaeldegroot/mysql-cache,,,
mysql2,1.6.4,MIT,https://github.com/sidorares/node-mysql2,,,
mysql,2.15.0,MIT,https://github.com/mysqljs/mysql,,,
mysql,2.17.1,MIT,https://github.com/mysqljs/mysql,,,
named-placeholders,1.1.1,MIT,https://github.com/sidorares/named-placeholders,,,
negotiator,0.6.1,MIT,https://github.com/jshttp/negotiator,,,
netmask,1.0.6,MIT,https://github.com/rs/node-netmask,,,
node-cache,4.2.0,MIT,https://github.com/mpneuried/nodecache,,,
node-environment-flags,1.0.6,Apache-2.0,https://github.com/boneskull/node-environment-flags,,,
node-uuid,1.4.8,MIT,https://github.com/broofa/node-uuid,,,
nodemailer-direct-transport,3.3.2,MIT,https://github.com/andris9/nodemailer-direct-transport,,,
nodemailer-fetch,1.6.0,MIT,https://github.com/nodemailer/nodemailer-fetch,,,
nodemailer-shared,1.1.0,MIT,https://github.com/nodemailer/nodemailer-shared,,,
nodemailer-smtp-pool,2.8.2,MIT,https://github.com/andris9/nodemailer-smtp-pool,,,
nodemailer-smtp-transport,2.7.2,MIT,https://github.com/andris9/nodemailer-smtp-transport,,,
nodemailer-wellknown,0.1.10,MIT,https://github.com/andris9/nodemailer-wellknown,,,
nodemailer,2.7.2,MIT,https://nodemailer.com/,,,
normalize-path,3.0.0,MIT,https://github.com/jonschlinkert/normalize-path,,,
oauth-sign,0.8.2,Apache-2.0,https://github.com/mikeal/oauth-sign,,,
object-inspect,1.8.0,MIT,https://github.com/inspect-js/object-inspect,,,
object-keys,1.1.1,MIT,https://github.com/ljharb/object-keys,,,
object.assign,4.1.0,MIT,https://github.com/ljharb/object.assign,,,
object.getownpropertydescriptors,2.1.0,MIT,https://github.com/es-shims/object.getownpropertydescriptors,,,
on-finished,2.3.0,MIT,https://github.com/jshttp/on-finished,,,
once,1.4.0,ISC,https://github.com/isaacs/once,,,
optionator,0.8.2,MIT,https://github.com/gkz/optionator,,,
os,0.1.1,MIT,https://github.com/DiegoRBaquero/node-os,,,
p-limit,2.3.0,MIT,https://github.com/sindresorhus/p-limit,,,
p-locate,3.0.0,MIT,https://github.com/sindresorhus/p-locate,,,
p-try,2.2.0,MIT,https://github.com/sindresorhus/p-try,,,
pac-proxy-agent,1.1.0,MIT,https://github.com/TooTallNate/node-pac-proxy-agent,,,
pac-resolver,2.0.0,MIT,https://github.com/TooTallNate/node-pac-resolver,,,
packet-reader,1.0.0,MIT,https://github.com/brianc/node-packet-reader,,,
parse-redis-url,0.0.2,BSD*,https://github.com/laggyluke/node-parse-redis-url,,,
parseurl,1.3.2,MIT,https://github.com/pillarjs/parseurl,,,
path-exists,3.0.0,MIT,https://github.com/sindresorhus/path-exists,,,
path-is-absolute,1.0.1,MIT,https://github.com/sindresorhus/path-is-absolute,,,
path-proxy,1.0.0,MIT,https://github.com/jclem/path-proxy,,,
path-to-regexp,0.1.7,MIT,https://github.com/component/path-to-regexp,,,
performance-now,2.1.0,MIT,https://github.com/braveg1rl/performance-now,,,
pg-connection-string,0.1.3,MIT,https://github.com/iceddev/pg-connection-string,,,
pg-int8,1.0.1,ISC,https://github.com/charmander/pg-int8,,,
pg-packet-stream,1.1.0,MIT,,,,
pg-pool,2.0.10,MIT,https://github.com/brianc/node-pg-pool,,,
pg-types,2.2.0,MIT,https://github.com/brianc/node-pg-types,,,
pg,7.18.2,MIT,https://github.com/brianc/node-postgres,,,
pgpass,1.0.2,MIT,https://github.com/hoegaarden/pgpass,,,
picomatch,2.2.2,MIT,https://github.com/micromatch/picomatch,,,
pinkie-promise,2.0.1,MIT,https://github.com/floatdrop/pinkie-promise,,,
pinkie,2.0.4,MIT,https://github.com/floatdrop/pinkie,,,
platform,1.3.5,MIT,https://github.com/bestiejs/platform.js,,,
postgres-array,2.0.0,MIT,https://github.com/bendrucker/postgres-array,,,
postgres-bytea,1.0.0,MIT,https://github.com/bendrucker/postgres-bytea,,,
postgres-date,1.0.7,MIT,https://github.com/bendrucker/postgres-date,,,
postgres-interval,1.2.0,MIT,https://github.com/bendrucker/postgres-interval,,,
prelude-ls,1.1.2,MIT,https://github.com/gkz/prelude-ls,,,
process-nextick-args,1.0.7,MIT,https://github.com/calvinmetcalf/process-nextick-args,,,
process-nextick-args,2.0.0,MIT,https://github.com/calvinmetcalf/process-nextick-args,,,
process-nextick-args,2.0.1,MIT,https://github.com/calvinmetcalf/process-nextick-args,,,
promise-mysql,4.1.1,MIT,https://github.com/lukeb-uk/node-promise-mysql,,,
proxy-addr,2.0.3,MIT,https://github.com/jshttp/proxy-addr,,,
proxy-agent,2.0.0,MIT,https://github.com/TooTallNate/node-proxy-agent,,,
pseudomap,1.0.2,ISC,https://github.com/isaacs/pseudomap,,,
punycode,1.4.1,MIT,https://github.com/bestiejs/punycode.js,,,
q,1.4.1,MIT,https://github.com/kriskowal/q,,,
qs,6.2.3,BSD-3-Clause,https://github.com/ljharb/qs,,,
qs,6.5.1,BSD-3-Clause,https://github.com/ljharb/qs,,,
range-parser,1.2.0,MIT,https://github.com/jshttp/range-parser,,,
raw-body,2.3.2,MIT,https://github.com/stream-utils/raw-body,,,
readable-stream,1.1.14,MIT,https://github.com/isaacs/readable-stream,,,
readable-stream,2.0.6,MIT,https://github.com/nodejs/readable-stream,,,
readable-stream,2.3.3,MIT,https://github.com/nodejs/readable-stream,,,
readable-stream,2.3.5,MIT,https://github.com/nodejs/readable-stream,,,
readable-stream,2.3.6,MIT,https://github.com/nodejs/readable-stream,,,
readdirp,3.2.0,MIT,https://github.com/paulmillr/readdirp,,,
redis-commands,1.3.5,MIT,https://github.com/NodeRedis/redis-commands,,,
redis-commands,1.4.0,MIT,https://github.com/NodeRedis/redis-commands,,,
redis-errors,1.2.0,MIT,https://github.com/NodeRedis/redis-errors,,,
redis-parser,2.6.0,MIT,https://github.com/NodeRedis/node-redis-parser,,,
redis-parser,3.0.0,MIT,https://github.com/NodeRedis/node-redis-parser,,,
redis,2.8.0,MIT,https://github.com/NodeRedis/node_redis,,,
request-ip,2.0.2,MIT,https://github.com/pbojinov/request-ip,,,
request-promise-core,1.1.2,ISC,https://github.com/request/promise-core,,,
request-promise,4.2.4,ISC,https://github.com/request/request-promise,,,
request,2.75.0,Apache-2.0,https://github.com/request/request,,,
request,2.85.0,Apache-2.0,https://github.com/request/request,,,
requestretry,1.13.0,MIT,https://github.com/FGRibreau/node-request-retry,,,
require-directory,2.1.1,MIT,https://github.com/troygoode/node-require-directory,,,
require-main-filename,2.0.0,ISC,https://github.com/yargs/require-main-filename,,,
retry,0.6.0,MIT*,https://github.com/felixge/node-retry,,,
rimraf,2.6.2,ISC,https://github.com/isaacs/rimraf,,,
safe-buffer,5.1.1,MIT,https://github.com/feross/safe-buffer,,,
safe-buffer,5.1.2,MIT,https://github.com/feross/safe-buffer,,,
safer-buffer,2.1.2,MIT,https://github.com/ChALkeR/safer-buffer,,,
sanitize-filename,1.6.1,WTFPL OR ISC,https://github.com/parshap/node-sanitize-filename,,,
semver,4.3.2,BSD*,https://github.com/npm/node-semver,,,
semver,5.0.3,ISC,https://github.com/npm/node-semver,,,
semver,5.5.0,ISC,https://github.com/npm/node-semver,,,
semver,5.7.1,ISC,https://github.com/npm/node-semver,,,
send,0.16.2,MIT,https://github.com/pillarjs/send,,,
seq-queue,0.0.5,MIT*,https://github.com/changchang/seq-queue,,,
serve-static,1.13.2,MIT,https://github.com/expressjs/serve-static,,,
set-blocking,2.0.0,ISC,https://github.com/yargs/set-blocking,,,
setprototypeof,1.0.3,ISC,https://github.com/wesleytodd/setprototypeof,,,
setprototypeof,1.1.0,ISC,https://github.com/wesleytodd/setprototypeof,,,
simple-lru-cache,0.0.2,MIT,https://github.com/geisbruch/node-simple-lru-cache,,,
slack-node,0.2.0,MIT,https://github.com/clonn/slack-node-sdk,,,
smart-buffer,1.1.15,MIT,https://github.com/JoshGlazebrook/smart-buffer,,,
smtp-connection,2.12.0,MIT,https://github.com/andris9/smtp-connection,,,
sntp,1.0.9,BSD,https://github.com/hueniverse/sntp,,,
